onset	duration	stimulus	product	pleasantness
19.181	2	warning_star	n/a	n/a
21.192	7.522	taste_and_swallow_kok	kok	1
28.715	22.5	judge_kok	kok	1
51.215	2.46	rate_kok	kok	1
56.558	29.14	rinse	n/a	n/a
85.707	2	warning_star	n/a	n/a
87.717	7.522	taste_and_swallow_fra	fra	5
95.24	22.5	judge_fra	fra	5
117.74	0.719	rate_fra	fra	5
121.324	29.14	rinse	n/a	n/a
150.524	2	warning_star	n/a	n/a
152.534	7.522	taste_and_swallow_ska	ska	6
160.056	22.5	judge_ska	ska	6
182.556	1.038	rate_ska	ska	6
186.459	29.14	rinse	n/a	n/a
215.642	2	warning_star	n/a	n/a
217.652	7.522	taste_and_swallow_lim	lim	5
225.174	22.5	judge_lim	lim	5
247.674	0.837	rate_lim	lim	5
251.377	25	rinse	n/a	n/a
295.553	2	warning_star	n/a	n/a
297.563	7.522	taste_and_swallow_lim	lim	4
305.085	22.5	judge_lim	lim	4
327.585	1.624	rate_lim	lim	4
332.058	29.14	rinse	n/a	n/a
361.224	2	warning_star	n/a	n/a
363.234	7.522	taste_and_swallow_ska	ska	6
370.756	22.5	judge_ska	ska	6
393.256	1.155	rate_ska	ska	6
397.277	29.14	rinse	n/a	n/a
426.443	2	warning_star	n/a	n/a
428.453	7.522	taste_and_swallow_fra	fra	5
435.975	22.5	judge_fra	fra	5
458.475	2.479	rate_fra	fra	5
463.836	29.14	rinse	n/a	n/a
493.002	2	warning_star	n/a	n/a
495.012	7.522	taste_and_swallow_kok	kok	1
502.534	22.5	judge_kok	kok	1
525.034	1.289	rate_kok	kok	1
529.172	25	rinse	n/a	n/a
573.315	2	warning_star	n/a	n/a
575.325	7.522	taste_and_swallow_ska	ska	6
582.847	22.5	judge_ska	ska	6
605.347	1.021	rate_ska	ska	6
609.201	29.14	rinse	n/a	n/a
638.333	2	warning_star	n/a	n/a
640.343	7.522	taste_and_swallow_kok	kok	3
647.865	22.5	judge_kok	kok	3
670.365	0.736	rate_kok	kok	3
673.967	29.14	rinse	n/a	n/a
703.149	2	warning_star	n/a	n/a
705.16	7.522	taste_and_swallow_lim	lim	5
712.682	22.5	judge_lim	lim	5
735.182	1.138	rate_lim	lim	5
739.169	29.14	rinse	n/a	n/a
768.301	2	warning_star	n/a	n/a
770.312	7.522	taste_and_swallow_fra	fra	4
777.834	22.5	judge_fra	fra	4
800.334	1.189	rate_fra	fra	4
804.388	25	rinse	n/a	n/a
