onset	duration	stimulus	product	pleasantness
19.216	2	warning_star	n/a	n/a
21.226	7.522	taste_and_swallow_fra	fra	6
28.765	22.5	judge_fra	fra	6
51.265	1.021	rate_fra	fra	6
55.168	29.14	rinse	n/a	n/a
84.334	2	warning_star	n/a	n/a
86.345	7.522	taste_and_swallow_lim	lim	5
93.883	22.5	judge_lim	lim	5
116.383	1.591	rate_lim	lim	5
120.84	29.14	rinse	n/a	n/a
149.989	2	warning_star	n/a	n/a
151.999	7.522	taste_and_swallow_kok	kok	3
159.521	22.5	judge_kok	kok	3
182.021	0.519	rate_kok	kok	3
185.372	29.14	rinse	n/a	n/a
214.504	2	warning_star	n/a	n/a
216.515	7.522	taste_and_swallow_ska	ska	2
224.038	22.5	judge_ska	ska	2
246.538	0.869	rate_ska	ska	2
250.288	25	rinse	n/a	n/a
294.466	2	warning_star	n/a	n/a
296.476	7.522	taste_and_swallow_kok	kok	3
303.998	22.5	judge_kok	kok	3
326.498	1.222	rate_kok	kok	3
330.569	29.14	rinse	n/a	n/a
359.718	2	warning_star	n/a	n/a
361.729	7.522	taste_and_swallow_fra	fra	5
369.251	22.5	judge_fra	fra	5
391.751	0.602	rate_fra	fra	5
395.202	29.14	rinse	n/a	n/a
424.334	2	warning_star	n/a	n/a
426.345	7.522	taste_and_swallow_ska	ska	3
433.867	22.5	judge_ska	ska	3
456.367	4.338	rate_ska	ska	3
463.571	29.14	rinse	n/a	n/a
492.703	2	warning_star	n/a	n/a
494.713	7.522	taste_and_swallow_lim	lim	5
502.235	22.5	judge_lim	lim	5
524.735	0.954	rate_lim	lim	5
528.538	25	rinse	n/a	n/a
572.681	2	warning_star	n/a	n/a
574.691	7.522	taste_and_swallow_lim	lim	5
582.214	22.5	judge_lim	lim	5
604.714	0.669	rate_lim	lim	5
608.248	29.14	rinse	n/a	n/a
637.398	2	warning_star	n/a	n/a
639.408	7.522	taste_and_swallow_ska	ska	2
646.93	22.5	judge_ska	ska	2
669.43	1.071	rate_ska	ska	2
673.35	29.14	rinse	n/a	n/a
702.499	2	warning_star	n/a	n/a
704.51	7.522	taste_and_swallow_fra	fra	6
712.032	22.5	judge_fra	fra	6
734.532	1.088	rate_fra	fra	6
738.469	29.14	rinse	n/a	n/a
767.601	2	warning_star	n/a	n/a
769.611	7.522	taste_and_swallow_kok	kok	7
777.133	22.5	judge_kok	kok	7
799.633	1.39	rate_kok	kok	7
803.855	25	rinse	n/a	n/a
