onset	duration	stimulus	product	pleasantness
19.182	2	warning_star	n/a	n/a
21.192	7.522	taste_and_swallow_fra	fra	4
28.714	22.5	judge_fra	fra	4
51.214	1.591	rate_fra	fra	4
55.67	29.14	rinse	n/a	n/a
84.803	2	warning_star	n/a	n/a
86.813	7.522	taste_and_swallow_kok	kok	3
94.335	22.5	judge_kok	kok	3
116.835	0.637	rate_kok	kok	3
120.32	29.14	rinse	n/a	n/a
149.486	2	warning_star	n/a	n/a
151.496	7.522	taste_and_swallow_lim	lim	4
159.018	22.5	judge_lim	lim	4
181.518	2.714	rate_lim	lim	4
187.08	29.14	rinse	n/a	n/a
216.213	2	warning_star	n/a	n/a
218.223	7.522	taste_and_swallow_ska	ska	2
225.745	22.5	judge_ska	ska	2
248.245	3.266	rate_ska	ska	2
254.36	25	rinse	n/a	n/a
298.519	2	warning_star	n/a	n/a
300.53	7.522	taste_and_swallow_lim	lim	5
308.052	22.5	judge_lim	lim	5
330.552	1.038	rate_lim	lim	5
334.439	29.14	rinse	n/a	n/a
363.588	2	warning_star	n/a	n/a
365.598	7.522	taste_and_swallow_fra	fra	3
373.12	22.5	judge_fra	fra	3
395.62	0.971	rate_fra	fra	3
399.44	29.14	rinse	n/a	n/a
428.589	2	warning_star	n/a	n/a
430.599	7.522	taste_and_swallow_ska	ska	2
438.121	22.5	judge_ska	ska	2
460.621	1.088	rate_ska	ska	2
464.558	29.14	rinse	n/a	n/a
493.691	2	warning_star	n/a	n/a
495.701	7.522	taste_and_swallow_kok	kok	3
503.223	22.5	judge_kok	kok	3
525.723	0.452	rate_kok	kok	3
529.024	25	rinse	n/a	n/a
573.183	2	warning_star	n/a	n/a
575.193	7.522	taste_and_swallow_ska	ska	3
582.716	22.5	judge_ska	ska	3
605.216	0.585	rate_ska	ska	3
608.65	29.14	rinse	n/a	n/a
637.782	2	warning_star	n/a	n/a
639.793	7.522	taste_and_swallow_lim	lim	4
647.315	22.5	judge_lim	lim	4
669.815	0.82	rate_lim	lim	4
673.467	29.14	rinse	n/a	n/a
702.616	2	warning_star	n/a	n/a
704.626	7.522	taste_and_swallow_kok	kok	6
712.148	22.5	judge_kok	kok	6
734.648	1.692	rate_kok	kok	6
739.172	29.14	rinse	n/a	n/a
768.321	2	warning_star	n/a	n/a
770.331	7.522	taste_and_swallow_fra	fra	5
777.853	22.5	judge_fra	fra	5
800.353	0.72	rate_fra	fra	5
803.922	25	rinse	n/a	n/a
