onset	duration	stimulus	product	pleasantness
19.182	2	warning_star	n/a	n/a
21.192	7.522	taste_and_swallow_appbos	appbos	5
28.714	22.5	judge_appbos	appbos	5
51.214	1.256	rate_appbos	appbos	5
55.335	29.14	rinse	n/a	n/a
84.485	2	warning_star	n/a	n/a
86.495	7.522	taste_and_swallow_sinman	sinman	4
94.017	22.5	judge_sinman	sinman	4
116.517	1.155	rate_sinman	sinman	4
120.521	29.14	rinse	n/a	n/a
149.67	2	warning_star	n/a	n/a
151.68	7.522	taste_and_swallow_appper	appper	5
159.22	22.5	judge_appper	appper	5
181.72	3.064	rate_appper	appper	5
187.633	29.14	rinse	n/a	n/a
216.765	2	warning_star	n/a	n/a
218.776	7.522	taste_and_swallow_anaman	anaman	6
226.298	22.5	judge_anaman	anaman	6
248.798	1.004	rate_anaman	anaman	6
252.651	25	rinse	n/a	n/a
296.828	2	warning_star	n/a	n/a
298.838	7.522	taste_and_swallow_appper	appper	3
306.36	22.5	judge_appper	appper	3
328.86	1.339	rate_appper	appper	3
333.048	29.14	rinse	n/a	n/a
362.197	2	warning_star	n/a	n/a
364.208	7.522	taste_and_swallow_appbos	appbos	6
371.73	22.5	judge_appbos	appbos	6
394.23	1.155	rate_appbos	appbos	6
398.217	29.14	rinse	n/a	n/a
427.366	2	warning_star	n/a	n/a
429.376	7.522	taste_and_swallow_anaman	anaman	6
436.899	22.5	judge_anaman	anaman	6
459.399	1.607	rate_anaman	anaman	6
463.871	29.14	rinse	n/a	n/a
493.021	2	warning_star	n/a	n/a
495.031	7.522	taste_and_swallow_sinman	sinman	6
502.553	22.5	judge_sinman	sinman	6
525.053	3.417	rate_sinman	sinman	6
531.319	25	rinse	n/a	n/a
575.462	2	warning_star	n/a	n/a
577.472	7.522	taste_and_swallow_sinman	sinman	5
584.994	22.5	judge_sinman	sinman	5
607.494	0.82	rate_sinman	sinman	5
611.163	29.14	rinse	n/a	n/a
640.295	2	warning_star	n/a	n/a
642.306	7.522	taste_and_swallow_appbos	appbos	6
649.828	22.5	judge_appbos	appbos	6
672.328	1.239	rate_appbos	appbos	6
676.432	29.14	rinse	n/a	n/a
705.565	2	warning_star	n/a	n/a
707.575	7.522	taste_and_swallow_anaman	anaman	5
715.097	22.5	judge_anaman	anaman	5
737.597	2.278	rate_anaman	anaman	5
742.707	29.14	rinse	n/a	n/a
771.856	2	warning_star	n/a	n/a
773.866	7.522	taste_and_swallow_appper	appper	6
781.388	22.5	judge_appper	appper	6
803.888	1.373	rate_appper	appper	6
808.093	25	rinse	n/a	n/a
