onset	duration	stimulus	product	pleasantness
19.182	2	warning_star	n/a	n/a
21.193	7.522	taste_and_swallow_sinman	sinman	6
28.715	22.5	judge_sinman	sinman	6
51.215	1.406	rate_sinman	sinman	6
55.487	29.14	rinse	n/a	n/a
84.653	2	warning_star	n/a	n/a
86.664	7.522	taste_and_swallow_appbos	appbos	6
94.186	22.5	judge_appbos	appbos	6
116.686	2.344	rate_appbos	appbos	6
121.879	29.14	rinse	n/a	n/a
151.062	2	warning_star	n/a	n/a
153.073	7.522	taste_and_swallow_anaman	anaman	5
160.595	22.5	judge_anaman	anaman	5
183.095	0.87	rate_anaman	anaman	5
186.797	29.14	rinse	n/a	n/a
215.93	2	warning_star	n/a	n/a
217.94	7.522	taste_and_swallow_appper	appper	6
225.462	22.5	judge_appper	appper	6
247.962	1.692	rate_appper	appper	6
252.503	25	rinse	n/a	n/a
296.629	2	warning_star	n/a	n/a
298.639	7.522	taste_and_swallow_appper	appper	6
306.162	22.5	judge_appper	appper	6
328.662	0.954	rate_appper	appper	6
332.465	29.14	rinse	n/a	n/a
361.631	2	warning_star	n/a	n/a
363.641	7.522	taste_and_swallow_anaman	anaman	5
371.163	22.5	judge_anaman	anaman	5
393.663	1.423	rate_anaman	anaman	5
397.935	29.14	rinse	n/a	n/a
427.085	2	warning_star	n/a	n/a
429.095	7.522	taste_and_swallow_appbos	appbos	6
436.617	22.5	judge_appbos	appbos	6
459.117	1.239	rate_appbos	appbos	6
463.222	29.14	rinse	n/a	n/a
492.371	2	warning_star	n/a	n/a
494.382	7.522	taste_and_swallow_sinman	sinman	5
501.904	22.5	judge_sinman	sinman	5
524.404	0.904	rate_sinman	sinman	5
528.157	25	rinse	n/a	n/a
572.333	2	warning_star	n/a	n/a
574.344	7.522	taste_and_swallow_anaman	anaman	5
581.866	22.5	judge_anaman	anaman	5
604.366	11.86	rate_anaman	anaman	5
619.075	29.14	rinse	n/a	n/a
648.208	2	warning_star	n/a	n/a
650.218	7.522	taste_and_swallow_sinman	sinman	6
657.74	22.5	judge_sinman	sinman	6
680.24	2.631	rate_sinman	sinman	6
685.719	29.14	rinse	n/a	n/a
714.834	2	warning_star	n/a	n/a
716.845	7.522	taste_and_swallow_appper	appper	7
724.367	22.5	judge_appper	appper	7
746.867	3.132	rate_appper	appper	7
752.865	29.14	rinse	n/a	n/a
782.031	2	warning_star	n/a	n/a
784.041	7.522	taste_and_swallow_appbos	appbos	7
791.563	22.5	judge_appbos	appbos	7
814.063	2.228	rate_appbos	appbos	7
819.14	25	rinse	n/a	n/a
