onset	duration	stimulus	product	pleasantness
19.165	2	warning_star	n/a	n/a
21.175	7.522	taste_and_swallow_ska	ska	5
28.697	22.5	judge_ska	ska	5
51.197	3.467	rate_ska	ska	5
57.53	29.14	rinse	n/a	n/a
86.695	2	warning_star	n/a	n/a
88.706	7.522	taste_and_swallow_lim	lim	5
96.228	22.5	judge_lim	lim	5
118.728	1.641	rate_lim	lim	5
123.234	29.14	rinse	n/a	n/a
152.383	2	warning_star	n/a	n/a
154.394	7.522	taste_and_swallow_kok	kok	6
161.916	22.5	judge_kok	kok	6
184.416	1.59	rate_kok	kok	6
188.855	29.14	rinse	n/a	n/a
217.987	2	warning_star	n/a	n/a
219.998	7.522	taste_and_swallow_fra	fra	4
227.537	22.5	judge_fra	fra	4
250.037	2.16	rate_fra	fra	4
255.079	25	rinse	n/a	n/a
299.239	2	warning_star	n/a	n/a
301.249	7.522	taste_and_swallow_fra	fra	5
308.771	22.5	judge_fra	fra	5
331.271	1.105	rate_fra	fra	5
335.225	29.14	rinse	n/a	n/a
364.374	2	warning_star	n/a	n/a
366.384	7.522	taste_and_swallow_lim	lim	4
373.906	22.5	judge_lim	lim	4
396.406	1.674	rate_lim	lim	4
400.929	29.14	rinse	n/a	n/a
430.062	2	warning_star	n/a	n/a
432.072	7.522	taste_and_swallow_kok	kok	6
439.594	22.5	judge_kok	kok	6
462.094	2.244	rate_kok	kok	6
467.204	29.14	rinse	n/a	n/a
496.336	2	warning_star	n/a	n/a
498.346	7.522	taste_and_swallow_ska	ska	3
505.868	22.5	judge_ska	ska	3
528.368	1.524	rate_ska	ska	3
532.741	25	rinse	n/a	n/a
576.934	2	warning_star	n/a	n/a
578.944	7.522	taste_and_swallow_lim	lim	7
586.466	22.5	judge_lim	lim	7
608.966	2.076	rate_lim	lim	7
613.891	29.14	rinse	n/a	n/a
643.024	2	warning_star	n/a	n/a
645.034	7.522	taste_and_swallow_ska	ska	5
652.556	22.5	judge_ska	ska	5
675.056	2.177	rate_ska	ska	5
680.082	29.14	rinse	n/a	n/a
709.214	2	warning_star	n/a	n/a
711.224	7.522	taste_and_swallow_fra	fra	6
718.747	22.5	judge_fra	fra	6
741.247	2.009	rate_fra	fra	6
746.105	29.14	rinse	n/a	n/a
775.237	2	warning_star	n/a	n/a
777.247	7.522	taste_and_swallow_kok	kok	5
784.769	22.5	judge_kok	kok	5
807.269	1.557	rate_kok	kok	5
811.659	25	rinse	n/a	n/a
