onset	duration	stimulus	product	pleasantness
19.165	2	warning_star	n/a	n/a
21.175	7.522	taste_and_swallow_appper	appper	5
28.698	22.5	judge_appper	appper	5
51.198	0.719	rate_appper	appper	5
54.766	29.14	rinse	n/a	n/a
83.915	2	warning_star	n/a	n/a
85.926	7.522	taste_and_swallow_appbos	appbos	2
93.448	22.5	judge_appbos	appbos	2
115.948	1.406	rate_appbos	appbos	2
120.22	29.14	rinse	n/a	n/a
149.369	2	warning_star	n/a	n/a
151.379	7.522	taste_and_swallow_anaman	anaman	4
158.901	22.5	judge_anaman	anaman	4
181.401	0.904	rate_anaman	anaman	4
185.137	29.14	rinse	n/a	n/a
214.286	2	warning_star	n/a	n/a
216.296	7.522	taste_and_swallow_sinman	sinman	6
223.819	22.5	judge_sinman	sinman	6
246.319	0.803	rate_sinman	sinman	6
249.971	25	rinse	n/a	n/a
294.13	2	warning_star	n/a	n/a
296.141	7.522	taste_and_swallow_appbos	appbos	2
303.663	22.5	judge_appbos	appbos	2
326.163	0.904	rate_appbos	appbos	2
329.899	29.14	rinse	n/a	n/a
359.065	2	warning_star	n/a	n/a
361.075	7.522	taste_and_swallow_sinman	sinman	5
368.597	22.5	judge_sinman	sinman	5
391.097	0.418	rate_sinman	sinman	5
394.364	29.14	rinse	n/a	n/a
423.513	2	warning_star	n/a	n/a
425.523	7.522	taste_and_swallow_appper	appper	7
433.045	22.5	judge_appper	appper	7
455.545	0.938	rate_appper	appper	7
459.332	29.14	rinse	n/a	n/a
488.481	2	warning_star	n/a	n/a
490.491	7.522	taste_and_swallow_anaman	anaman	4
498.013	22.5	judge_anaman	anaman	4
520.513	1.038	rate_anaman	anaman	4
524.383	25	rinse	n/a	n/a
568.543	2	warning_star	n/a	n/a
570.553	7.522	taste_and_swallow_sinman	sinman	6
578.075	22.5	judge_sinman	sinman	6
600.575	1.524	rate_sinman	sinman	6
604.947	29.14	rinse	n/a	n/a
634.08	2	warning_star	n/a	n/a
636.091	7.522	taste_and_swallow_appbos	appbos	1
643.613	22.5	judge_appbos	appbos	1
666.113	1.439	rate_appbos	appbos	1
670.401	29.14	rinse	n/a	n/a
699.534	2	warning_star	n/a	n/a
701.544	7.522	taste_and_swallow_anaman	anaman	5
709.066	22.5	judge_anaman	anaman	5
731.566	0.519	rate_anaman	anaman	5
734.934	29.14	rinse	n/a	n/a
764.066	2	warning_star	n/a	n/a
766.076	7.522	taste_and_swallow_appper	appper	6
773.598	22.5	judge_appper	appper	6
796.098	0.854	rate_appper	appper	6
799.784	25	rinse	n/a	n/a
