onset	duration	stimulus	product	pleasantness
19.182	2	warning_star	n/a	n/a
21.192	7.522	taste_and_swallow_fra	fra	5
28.715	22.5	judge_fra	fra	5
51.215	0.953	rate_fra	fra	5
55.033	29.14	rinse	n/a	n/a
84.182	2	warning_star	n/a	n/a
86.192	7.522	taste_and_swallow_lim	lim	5
93.731	22.5	judge_lim	lim	5
116.231	3.366	rate_lim	lim	5
122.512	29.14	rinse	n/a	n/a
151.696	2	warning_star	n/a	n/a
153.706	7.522	taste_and_swallow_kok	kok	2
161.229	22.5	judge_kok	kok	2
183.729	0.969	rate_kok	kok	2
187.563	29.14	rinse	n/a	n/a
216.696	2	warning_star	n/a	n/a
218.707	7.522	taste_and_swallow_ska	ska	1
226.23	22.5	judge_ska	ska	1
248.73	1.019	rate_ska	ska	1
252.615	25	rinse	n/a	n/a
296.791	2	warning_star	n/a	n/a
298.801	7.522	taste_and_swallow_kok	kok	3
306.323	22.5	judge_kok	kok	3
328.823	0.87	rate_kok	kok	3
332.526	29.14	rinse	n/a	n/a
361.658	2	warning_star	n/a	n/a
363.668	7.522	taste_and_swallow_fra	fra	6
371.19	22.5	judge_fra	fra	6
393.69	1.071	rate_fra	fra	6
397.61	29.14	rinse	n/a	n/a
426.742	2	warning_star	n/a	n/a
428.752	7.522	taste_and_swallow_ska	ska	1
436.274	22.5	judge_ska	ska	1
458.774	1.272	rate_ska	ska	1
462.929	29.14	rinse	n/a	n/a
492.094	2	warning_star	n/a	n/a
494.105	7.522	taste_and_swallow_lim	lim	5
501.627	22.5	judge_lim	lim	5
524.127	0.92	rate_lim	lim	5
527.879	25	rinse	n/a	n/a
572.038	2	warning_star	n/a	n/a
574.049	7.522	taste_and_swallow_lim	lim	5
581.571	22.5	judge_lim	lim	5
604.071	0.803	rate_lim	lim	5
607.723	29.14	rinse	n/a	n/a
636.888	2	warning_star	n/a	n/a
638.898	7.522	taste_and_swallow_ska	ska	1
646.42	22.5	judge_ska	ska	1
668.92	1.457	rate_ska	ska	1
673.242	29.14	rinse	n/a	n/a
702.408	2	warning_star	n/a	n/a
704.418	7.522	taste_and_swallow_fra	fra	6
711.94	22.5	judge_fra	fra	6
734.44	1.021	rate_fra	fra	6
738.327	29.14	rinse	n/a	n/a
767.476	2	warning_star	n/a	n/a
769.486	7.522	taste_and_swallow_kok	kok	3
777.008	22.5	judge_kok	kok	3
799.508	3.952	rate_kok	kok	3
806.293	25	rinse	n/a	n/a
