onset	duration	stimulus	product	pleasantness
19.182	2	warning_star	n/a	n/a
21.192	7.522	taste_and_swallow_appbos	appbos	6
28.715	22.5	judge_appbos	appbos	6
51.215	0.752	rate_appbos	appbos	6
54.832	29.14	rinse	n/a	n/a
83.964	2	warning_star	n/a	n/a
85.975	7.522	taste_and_swallow_appper	appper	5
93.497	22.5	judge_appper	appper	5
115.997	1.037	rate_appper	appper	5
119.883	29.14	rinse	n/a	n/a
149.032	2	warning_star	n/a	n/a
151.042	7.522	taste_and_swallow_sinman	sinman	5
158.565	22.5	judge_sinman	sinman	5
181.065	0.702	rate_sinman	sinman	5
184.616	29.14	rinse	n/a	n/a
213.765	2	warning_star	n/a	n/a
215.775	7.522	taste_and_swallow_anaman	anaman	3
223.298	22.5	judge_anaman	anaman	3
245.798	0.467	rate_anaman	anaman	3
249.13	25	rinse	n/a	n/a
293.273	2	warning_star	n/a	n/a
295.283	7.522	taste_and_swallow_sinman	sinman	5
302.805	22.5	judge_sinman	sinman	5
325.305	0.82	rate_sinman	sinman	5
328.974	29.14	rinse	n/a	n/a
358.14	2	warning_star	n/a	n/a
360.15	7.522	taste_and_swallow_appbos	appbos	6
367.672	22.5	judge_appbos	appbos	6
390.172	1.037	rate_appbos	appbos	6
394.058	29.14	rinse	n/a	n/a
423.174	2	warning_star	n/a	n/a
425.184	7.522	taste_and_swallow_anaman	anaman	3
432.706	22.5	judge_anaman	anaman	3
455.206	0.786	rate_anaman	anaman	3
458.858	29.14	rinse	n/a	n/a
487.99	2	warning_star	n/a	n/a
490	7.522	taste_and_swallow_appper	appper	5
497.522	22.5	judge_appper	appper	5
520.022	1.289	rate_appper	appper	5
524.16	25	rinse	n/a	n/a
568.319	2	warning_star	n/a	n/a
570.33	7.522	taste_and_swallow_anaman	anaman	3
577.852	22.5	judge_anaman	anaman	3
600.352	0.501	rate_anaman	anaman	3
603.702	29.14	rinse	n/a	n/a
632.834	2	warning_star	n/a	n/a
634.844	7.522	taste_and_swallow_sinman	sinman	5
642.366	22.5	judge_sinman	sinman	5
664.866	2.546	rate_sinman	sinman	5
670.277	29.14	rinse	n/a	n/a
699.426	2	warning_star	n/a	n/a
701.436	7.522	taste_and_swallow_appper	appper	5
708.959	22.5	judge_appper	appper	5
731.459	0.735	rate_appper	appper	5
735.042	29.14	rinse	n/a	n/a
764.209	2	warning_star	n/a	n/a
766.219	7.522	taste_and_swallow_appbos	appbos	6
773.741	22.5	judge_appbos	appbos	6
796.241	1.172	rate_appbos	appbos	6
800.262	25	rinse	n/a	n/a
