onset	duration	stimulus	product	pleasantness
19.182	2	warning_star	n/a	n/a
21.192	7.522	taste_and_swallow_fra	fra	4
28.731	22.5	judge_fra	fra	4
51.231	0.937	rate_fra	fra	4
55.017	29.14	rinse	n/a	n/a
84.149	2	warning_star	n/a	n/a
86.16	7.522	taste_and_swallow_lim	lim	5
93.683	22.5	judge_lim	lim	5
116.183	0.551	rate_lim	lim	5
119.566	29.14	rinse	n/a	n/a
148.749	2	warning_star	n/a	n/a
150.759	7.522	taste_and_swallow_kok	kok	3
158.281	22.5	judge_kok	kok	3
180.781	0.502	rate_kok	kok	3
184.115	29.14	rinse	n/a	n/a
213.247	2	warning_star	n/a	n/a
215.258	7.522	taste_and_swallow_ska	ska	2
222.78	22.5	judge_ska	ska	2
245.28	0.903	rate_ska	ska	2
249.032	25	rinse	n/a	n/a
293.209	2	warning_star	n/a	n/a
295.219	7.522	taste_and_swallow_kok	kok	4
302.742	22.5	judge_kok	kok	4
325.242	1.02	rate_kok	kok	4
329.128	29.14	rinse	n/a	n/a
358.26	2	warning_star	n/a	n/a
360.271	7.522	taste_and_swallow_fra	fra	6
367.81	22.5	judge_fra	fra	6
390.31	0.853	rate_fra	fra	6
393.995	29.14	rinse	n/a	n/a
423.144	2	warning_star	n/a	n/a
425.155	7.522	taste_and_swallow_ska	ska	3
432.677	22.5	judge_ska	ska	3
455.177	0.552	rate_ska	ska	3
458.578	29.14	rinse	n/a	n/a
487.727	2	warning_star	n/a	n/a
489.737	7.522	taste_and_swallow_lim	lim	6
497.259	22.5	judge_lim	lim	6
519.759	1.44	rate_lim	lim	6
524.048	25	rinse	n/a	n/a
568.191	2	warning_star	n/a	n/a
570.201	7.522	taste_and_swallow_lim	lim	3
577.723	22.5	judge_lim	lim	3
600.223	0.519	rate_lim	lim	3
603.591	29.14	rinse	n/a	n/a
632.757	2	warning_star	n/a	n/a
634.767	7.522	taste_and_swallow_ska	ska	2
642.289	22.5	judge_ska	ska	2
664.789	1.507	rate_ska	ska	2
669.145	29.14	rinse	n/a	n/a
698.294	2	warning_star	n/a	n/a
700.304	7.522	taste_and_swallow_fra	fra	6
707.826	22.5	judge_fra	fra	6
730.326	1.423	rate_fra	fra	6
734.582	29.14	rinse	n/a	n/a
763.714	2	warning_star	n/a	n/a
765.724	7.522	taste_and_swallow_kok	kok	1
773.246	22.5	judge_kok	kok	1
795.746	1.056	rate_kok	kok	1
799.65	25	rinse	n/a	n/a
