onset	duration	stimulus	product	pleasantness
19.183	2	warning_star	n/a	n/a
21.193	7.522	taste_and_swallow_appper	appper	3
28.716	22.5	judge_appper	appper	3
51.216	0.735	rate_appper	appper	3
54.8	29.14	rinse	n/a	n/a
83.983	2	warning_star	n/a	n/a
85.993	7.522	taste_and_swallow_anaman	anaman	2
93.517	22.5	judge_anaman	anaman	2
116.017	1.807	rate_anaman	anaman	2
120.673	29.14	rinse	n/a	n/a
149.822	2	warning_star	n/a	n/a
151.833	7.522	taste_and_swallow_appbos	appbos	4
159.355	22.5	judge_appbos	appbos	4
181.855	1.44	rate_appbos	appbos	4
186.144	29.14	rinse	n/a	n/a
215.31	2	warning_star	n/a	n/a
217.32	7.522	taste_and_swallow_sinman	sinman	3
224.842	22.5	judge_sinman	sinman	3
247.342	0.854	rate_sinman	sinman	3
251.062	25	rinse	n/a	n/a
295.222	2	warning_star	n/a	n/a
297.232	7.522	taste_and_swallow_anaman	anaman	4
304.754	22.5	judge_anaman	anaman	4
327.254	5.528	rate_anaman	anaman	4
335.631	29.14	rinse	n/a	n/a
364.763	2	warning_star	n/a	n/a
366.774	7.522	taste_and_swallow_sinman	sinman	1
374.296	22.5	judge_sinman	sinman	1
396.796	2.311	rate_sinman	sinman	1
401.955	29.14	rinse	n/a	n/a
431.139	2	warning_star	n/a	n/a
433.149	7.522	taste_and_swallow_appper	appper	3
440.689	22.5	judge_appper	appper	3
463.189	0.585	rate_appper	appper	3
466.638	29.14	rinse	n/a	n/a
495.789	2	warning_star	n/a	n/a
497.799	7.522	taste_and_swallow_appbos	appbos	5
505.321	22.5	judge_appbos	appbos	5
527.821	0.837	rate_appbos	appbos	5
531.507	25	rinse	n/a	n/a
575.667	2	warning_star	n/a	n/a
577.677	7.522	taste_and_swallow_appbos	appbos	4
585.2	22.5	judge_appbos	appbos	4
607.7	1.473	rate_appbos	appbos	4
612.039	29.14	rinse	n/a	n/a
641.188	2	warning_star	n/a	n/a
643.198	7.522	taste_and_swallow_sinman	sinman	3
650.721	22.5	judge_sinman	sinman	3
673.221	0.769	rate_sinman	sinman	3
676.873	29.14	rinse	n/a	n/a
706.056	2	warning_star	n/a	n/a
708.066	7.522	taste_and_swallow_appper	appper	3
715.588	22.5	judge_appper	appper	3
738.088	0.904	rate_appper	appper	3
741.824	29.14	rinse	n/a	n/a
770.99	2	warning_star	n/a	n/a
773.001	7.522	taste_and_swallow_anaman	anaman	4
780.523	22.5	judge_anaman	anaman	4
803.023	0.954	rate_anaman	anaman	4
806.826	25	rinse	n/a	n/a
