onset	duration	stimulus	product	pleasantness
19.165	2	warning_star	n/a	n/a
21.176	7.522	taste_and_swallow_lim	lim	6
28.698	22.5	judge_lim	lim	6
51.198	2.73	rate_lim	lim	6
56.776	29.14	rinse	n/a	n/a
85.926	2	warning_star	n/a	n/a
87.936	7.522	taste_and_swallow_fra	fra	6
95.458	22.5	judge_fra	fra	6
117.958	2.026	rate_fra	fra	6
122.817	29.14	rinse	n/a	n/a
151.982	2	warning_star	n/a	n/a
153.993	7.522	taste_and_swallow_ska	ska	3
161.515	22.5	judge_ska	ska	3
184.015	1.188	rate_ska	ska	3
188.052	29.14	rinse	n/a	n/a
217.185	2	warning_star	n/a	n/a
219.195	7.522	taste_and_swallow_kok	kok	4
226.717	22.5	judge_kok	kok	4
249.217	1.323	rate_kok	kok	4
253.405	25	rinse	n/a	n/a
297.615	2	warning_star	n/a	n/a
299.626	7.522	taste_and_swallow_kok	kok	5
307.148	22.5	judge_kok	kok	5
329.648	1.238	rate_kok	kok	5
333.752	29.14	rinse	n/a	n/a
362.884	2	warning_star	n/a	n/a
364.895	7.522	taste_and_swallow_ska	ska	2
372.417	22.5	judge_ska	ska	2
394.917	1.457	rate_ska	ska	2
399.238	29.14	rinse	n/a	n/a
428.388	2	warning_star	n/a	n/a
430.399	7.522	taste_and_swallow_fra	fra	6
437.921	22.5	judge_fra	fra	6
460.421	1.289	rate_fra	fra	6
464.576	29.14	rinse	n/a	n/a
493.758	2	warning_star	n/a	n/a
495.768	7.522	taste_and_swallow_lim	lim	3
503.291	22.5	judge_lim	lim	3
525.791	0.987	rate_lim	lim	3
529.627	25	rinse	n/a	n/a
573.77	2	warning_star	n/a	n/a
575.78	7.522	taste_and_swallow_ska	ska	3
583.302	22.5	judge_ska	ska	3
605.802	0.753	rate_ska	ska	3
609.404	29.14	rinse	n/a	n/a
638.553	2	warning_star	n/a	n/a
640.564	7.522	taste_and_swallow_lim	lim	4
648.086	22.5	judge_lim	lim	4
670.586	1.724	rate_lim	lim	4
675.176	29.14	rinse	n/a	n/a
704.342	2	warning_star	n/a	n/a
706.352	7.522	taste_and_swallow_kok	kok	6
713.874	22.5	judge_kok	kok	6
736.374	1.407	rate_kok	kok	6
740.646	29.14	rinse	n/a	n/a
769.796	2	warning_star	n/a	n/a
771.806	7.522	taste_and_swallow_fra	fra	7
779.328	22.5	judge_fra	fra	7
801.828	1.758	rate_fra	fra	7
806.435	25	rinse	n/a	n/a
