onset	duration	stimulus	product	pleasantness
19.182	2	warning_star	n/a	n/a
21.192	7.522	taste_and_swallow_kok	kok	6
28.714	22.5	judge_kok	kok	6
51.214	4.724	rate_kok	kok	6
58.803	29.14	rinse	n/a	n/a
88.003	2	warning_star	n/a	n/a
90.013	7.522	taste_and_swallow_fra	fra	3
97.552	22.5	judge_fra	fra	3
120.052	7.655	rate_fra	fra	3
130.555	29.14	rinse	n/a	n/a
159.721	2	warning_star	n/a	n/a
161.732	7.522	taste_and_swallow_ska	ska	4
169.254	22.5	judge_ska	ska	4
191.754	3.835	rate_ska	ska	4
198.454	29.14	rinse	n/a	n/a
227.587	2	warning_star	n/a	n/a
229.597	7.522	taste_and_swallow_lim	lim	5
237.137	22.5	judge_lim	lim	5
259.637	5.627	rate_lim	lim	5
268.162	25	rinse	n/a	n/a
312.323	2	warning_star	n/a	n/a
314.333	7.522	taste_and_swallow_fra	fra	4
321.855	22.5	judge_fra	fra	4
344.355	4.975	rate_fra	fra	4
352.211	29.14	rinse	n/a	n/a
381.345	2	warning_star	n/a	n/a
383.355	7.522	taste_and_swallow_lim	lim	5
390.877	22.5	judge_lim	lim	5
413.377	1.658	rate_lim	lim	5
417.899	29.14	rinse	n/a	n/a
447.016	2	warning_star	n/a	n/a
449.026	7.522	taste_and_swallow_kok	kok	6
456.565	22.5	judge_kok	kok	6
479.065	8.041	rate_kok	kok	6
489.987	29.14	rinse	n/a	n/a
519.12	2	warning_star	n/a	n/a
521.13	7.522	taste_and_swallow_ska	ska	4
528.652	22.5	judge_ska	ska	4
551.152	2.697	rate_ska	ska	4
556.714	25	rinse	n/a	n/a
600.891	2	warning_star	n/a	n/a
602.901	7.522	taste_and_swallow_lim	lim	5
610.423	22.5	judge_lim	lim	5
632.923	2.613	rate_lim	lim	5
638.384	29.14	rinse	n/a	n/a
667.533	2	warning_star	n/a	n/a
669.544	7.522	taste_and_swallow_ska	ska	6
677.066	22.5	judge_ska	ska	6
699.566	2.059	rate_ska	ska	6
704.508	29.14	rinse	n/a	n/a
733.657	2	warning_star	n/a	n/a
735.667	7.522	taste_and_swallow_fra	fra	5
743.189	22.5	judge_fra	fra	5
765.689	2.882	rate_fra	fra	5
771.435	29.14	rinse	n/a	n/a
800.601	2	warning_star	n/a	n/a
802.612	7.522	taste_and_swallow_kok	kok	4
810.134	22.5	judge_kok	kok	4
832.634	2.294	rate_kok	kok	4
837.76	25	rinse	n/a	n/a
