onset	duration	stimulus	product	pleasantness
19.182	2	warning_star	n/a	n/a
21.192	7.522	taste_and_swallow_ska	ska	6
28.715	22.5	judge_ska	ska	6
51.215	0.92	rate_ska	ska	6
54.984	29.14	rinse	n/a	n/a
84.149	2	warning_star	n/a	n/a
86.16	7.522	taste_and_swallow_fra	fra	6
93.682	22.5	judge_fra	fra	6
116.182	1.441	rate_fra	fra	6
120.454	29.14	rinse	n/a	n/a
149.603	2	warning_star	n/a	n/a
151.613	7.522	taste_and_swallow_kok	kok	4
159.135	22.5	judge_kok	kok	4
181.635	2.06	rate_kok	kok	4
186.527	29.14	rinse	n/a	n/a
215.659	2	warning_star	n/a	n/a
217.67	7.522	taste_and_swallow_lim	lim	3
225.208	22.5	judge_lim	lim	3
247.708	0.872	rate_lim	lim	3
251.428	25	rinse	n/a	n/a
295.587	2	warning_star	n/a	n/a
297.597	7.522	taste_and_swallow_ska	ska	5
305.119	22.5	judge_ska	ska	5
327.619	0.703	rate_ska	ska	5
331.171	29.14	rinse	n/a	n/a
360.32	2	warning_star	n/a	n/a
362.33	7.522	taste_and_swallow_kok	kok	3
369.853	22.5	judge_kok	kok	3
392.353	0.618	rate_kok	kok	3
395.803	29.14	rinse	n/a	n/a
424.952	2	warning_star	n/a	n/a
426.963	7.522	taste_and_swallow_lim	lim	5
434.486	22.5	judge_lim	lim	5
456.986	0.534	rate_lim	lim	5
460.369	29.14	rinse	n/a	n/a
489.501	2	warning_star	n/a	n/a
491.511	7.522	taste_and_swallow_fra	fra	6
499.034	22.5	judge_fra	fra	6
521.534	0.853	rate_fra	fra	6
525.219	25	rinse	n/a	n/a
569.395	2	warning_star	n/a	n/a
571.406	7.522	taste_and_swallow_lim	lim	6
578.928	22.5	judge_lim	lim	6
601.428	0.836	rate_lim	lim	6
605.113	29.14	rinse	n/a	n/a
634.296	2	warning_star	n/a	n/a
636.306	7.522	taste_and_swallow_kok	kok	6
643.828	22.5	judge_kok	kok	6
666.328	0.921	rate_kok	kok	6
670.098	29.14	rinse	n/a	n/a
699.263	2	warning_star	n/a	n/a
701.274	7.522	taste_and_swallow_fra	fra	5
708.796	22.5	judge_fra	fra	5
731.296	0.803	rate_fra	fra	5
734.948	29.14	rinse	n/a	n/a
764.164	2	warning_star	n/a	n/a
766.174	7.522	taste_and_swallow_ska	ska	5
773.696	22.5	judge_ska	ska	5
796.196	0.803	rate_ska	ska	5
799.865	25	rinse	n/a	n/a
