onset	duration	stimulus	product	pleasantness
19.183	2	warning_star	n/a	n/a
21.193	7.522	taste_and_swallow_ska	ska	1
28.732	22.5	judge_ska	ska	1
51.232	1.691	rate_ska	ska	1
55.772	29.14	rinse	n/a	n/a
84.921	2	warning_star	n/a	n/a
86.932	7.522	taste_and_swallow_fra	fra	5
94.47	22.5	judge_fra	fra	5
116.97	0.619	rate_fra	fra	5
120.454	29.14	rinse	n/a	n/a
149.588	2	warning_star	n/a	n/a
151.598	7.522	taste_and_swallow_kok	kok	3
159.121	22.5	judge_kok	kok	3
181.621	0.534	rate_kok	kok	3
184.988	29.14	rinse	n/a	n/a
214.12	2	warning_star	n/a	n/a
216.13	7.522	taste_and_swallow_lim	lim	5
223.669	22.5	judge_lim	lim	5
246.169	2.814	rate_lim	lim	5
251.849	25	rinse	n/a	n/a
295.992	2	warning_star	n/a	n/a
298.002	7.522	taste_and_swallow_ska	ska	1
305.524	22.5	judge_ska	ska	1
328.024	1.14	rate_ska	ska	1
331.995	29.14	rinse	n/a	n/a
361.11	2	warning_star	n/a	n/a
363.121	7.522	taste_and_swallow_kok	kok	5
370.643	22.5	judge_kok	kok	5
393.143	0.703	rate_kok	kok	5
396.678	29.14	rinse	n/a	n/a
425.794	2	warning_star	n/a	n/a
427.804	7.522	taste_and_swallow_lim	lim	5
435.326	22.5	judge_lim	lim	5
457.826	0.904	rate_lim	lim	5
461.562	29.14	rinse	n/a	n/a
490.694	2	warning_star	n/a	n/a
492.705	7.522	taste_and_swallow_fra	fra	6
500.227	22.5	judge_fra	fra	6
522.727	1.004	rate_fra	fra	6
526.563	25	rinse	n/a	n/a
570.707	2	warning_star	n/a	n/a
572.717	7.522	taste_and_swallow_lim	lim	3
580.239	22.5	judge_lim	lim	3
602.739	3.149	rate_lim	lim	3
608.737	29.14	rinse	n/a	n/a
637.869	2	warning_star	n/a	n/a
639.879	7.522	taste_and_swallow_kok	kok	2
647.402	22.5	judge_kok	kok	2
669.902	0.786	rate_kok	kok	2
673.537	29.14	rinse	n/a	n/a
702.653	2	warning_star	n/a	n/a
704.663	7.522	taste_and_swallow_fra	fra	6
712.185	22.5	judge_fra	fra	6
734.685	1.072	rate_fra	fra	6
738.606	29.14	rinse	n/a	n/a
767.721	2	warning_star	n/a	n/a
769.732	7.522	taste_and_swallow_ska	ska	1
777.254	22.5	judge_ska	ska	1
799.754	1.038	rate_ska	ska	1
803.656	25	rinse	n/a	n/a
