onset	duration	stimulus	product	pleasantness
19.182	2	warning_star	n/a	n/a
21.192	7.522	taste_and_swallow_ska	ska	3
28.714	22.5	judge_ska	ska	3
51.214	1.071	rate_ska	ska	3
55.134	29.14	rinse	n/a	n/a
84.283	2	warning_star	n/a	n/a
86.293	7.522	taste_and_swallow_fra	fra	5
93.815	22.5	judge_fra	fra	5
116.315	1.272	rate_fra	fra	5
120.42	29.14	rinse	n/a	n/a
149.552	2	warning_star	n/a	n/a
151.562	7.522	taste_and_swallow_kok	kok	5
159.084	22.5	judge_kok	kok	5
181.584	0.552	rate_kok	kok	5
185.018	29.14	rinse	n/a	n/a
214.184	2	warning_star	n/a	n/a
216.194	7.522	taste_and_swallow_lim	lim	6
223.716	22.5	judge_lim	lim	6
246.216	1.943	rate_lim	lim	6
251.041	25	rinse	n/a	n/a
295.167	2	warning_star	n/a	n/a
297.177	7.522	taste_and_swallow_ska	ska	3
304.699	22.5	judge_ska	ska	3
327.199	0.586	rate_ska	ska	3
330.634	29.14	rinse	n/a	n/a
359.766	2	warning_star	n/a	n/a
361.776	7.522	taste_and_swallow_kok	kok	3
369.298	22.5	judge_kok	kok	3
391.798	0.552	rate_kok	kok	3
395.199	29.14	rinse	n/a	n/a
424.348	2	warning_star	n/a	n/a
426.358	7.522	taste_and_swallow_lim	lim	4
433.88	22.5	judge_lim	lim	4
456.38	1.557	rate_lim	lim	4
460.819	29.14	rinse	n/a	n/a
489.968	2	warning_star	n/a	n/a
491.979	7.522	taste_and_swallow_fra	fra	2
499.501	22.5	judge_fra	fra	2
522.001	0.87	rate_fra	fra	2
525.72	25	rinse	n/a	n/a
569.862	2	warning_star	n/a	n/a
571.873	7.522	taste_and_swallow_lim	lim	3
579.395	22.5	judge_lim	lim	3
601.895	0.618	rate_lim	lim	3
605.362	29.14	rinse	n/a	n/a
634.528	2	warning_star	n/a	n/a
636.538	7.522	taste_and_swallow_kok	kok	2
644.06	22.5	judge_kok	kok	2
666.56	0.803	rate_kok	kok	2
670.229	29.14	rinse	n/a	n/a
699.361	2	warning_star	n/a	n/a
701.372	7.522	taste_and_swallow_fra	fra	3
708.894	22.5	judge_fra	fra	3
731.394	0.886	rate_fra	fra	3
735.113	29.14	rinse	n/a	n/a
764.262	2	warning_star	n/a	n/a
766.272	7.522	taste_and_swallow_ska	ska	4
773.794	22.5	judge_ska	ska	4
796.294	0.971	rate_ska	ska	4
800.129	25	rinse	n/a	n/a
