onset	duration	stimulus	product	pleasantness
19.166	2	warning_star	n/a	n/a
21.176	7.522	taste_and_swallow_appper	appper	7
28.715	22.5	judge_appper	appper	7
51.215	1.909	rate_appper	appper	7
56.005	29.14	rinse	n/a	n/a
85.172	2	warning_star	n/a	n/a
87.182	7.522	taste_and_swallow_appbos	appbos	5
94.704	22.5	judge_appbos	appbos	5
117.204	0.501	rate_appbos	appbos	5
120.587	29.14	rinse	n/a	n/a
149.77	2	warning_star	n/a	n/a
151.781	7.522	taste_and_swallow_anaman	anaman	5
159.303	22.5	judge_anaman	anaman	5
181.803	0.401	rate_anaman	anaman	5
185.052	29.14	rinse	n/a	n/a
214.201	2	warning_star	n/a	n/a
216.212	7.522	taste_and_swallow_sinman	sinman	6
223.751	22.5	judge_sinman	sinman	6
246.251	1.975	rate_sinman	sinman	6
251.092	25	rinse	n/a	n/a
295.235	2	warning_star	n/a	n/a
297.245	7.522	taste_and_swallow_anaman	anaman	5
304.767	22.5	judge_anaman	anaman	5
327.267	0.669	rate_anaman	anaman	5
330.768	29.14	rinse	n/a	n/a
359.884	2	warning_star	n/a	n/a
361.894	7.522	taste_and_swallow_sinman	sinman	5
369.416	22.5	judge_sinman	sinman	5
391.916	0.435	rate_sinman	sinman	5
395.199	29.14	rinse	n/a	n/a
424.348	2	warning_star	n/a	n/a
426.359	7.522	taste_and_swallow_appper	appper	7
433.881	22.5	judge_appper	appper	7
456.381	1.942	rate_appper	appper	7
461.189	29.14	rinse	n/a	n/a
490.354	2	warning_star	n/a	n/a
492.365	7.522	taste_and_swallow_appbos	appbos	7
499.887	22.5	judge_appbos	appbos	7
522.387	1.523	rate_appbos	appbos	7
526.759	25	rinse	n/a	n/a
570.935	2	warning_star	n/a	n/a
572.946	7.522	taste_and_swallow_sinman	sinman	4
580.468	22.5	judge_sinman	sinman	4
602.968	0.853	rate_sinman	sinman	4
606.686	29.14	rinse	n/a	n/a
635.819	2	warning_star	n/a	n/a
637.829	7.522	taste_and_swallow_appbos	appbos	6
645.351	22.5	judge_appbos	appbos	6
667.851	1.272	rate_appbos	appbos	6
671.989	29.14	rinse	n/a	n/a
701.155	2	warning_star	n/a	n/a
703.165	7.522	taste_and_swallow_anaman	anaman	6
710.687	22.5	judge_anaman	anaman	6
733.187	1.138	rate_anaman	anaman	6
737.174	29.14	rinse	n/a	n/a
766.306	2	warning_star	n/a	n/a
768.317	7.522	taste_and_swallow_appper	appper	6
775.839	22.5	judge_appper	appper	6
798.339	1.573	rate_appper	appper	6
802.744	25	rinse	n/a	n/a
